site,sample name,Profile ID,Profile,mass_kg,bed_elevation_dhhn,profile_location,river_km,samp_method,date,lat,lon,d10,d16,d25,d30,d50,d60,d75,d84,d90,Mean Grain Size dm [mm],Geometrical mean dg [mm],Sorting Index 1 ds,Fredle - Index,Grain Size std,Geometric Standard Deviation,Skewness,Kurtosis,Coefficient of uniformity - Cu,Curvature coefficient - Cc,Carling and Reader (1982) [Porosity],Wu and Wang (2006) [Porosity],Wooster et al. (2008) [Porosity],Frings et al. (2011)  [Porosity],User input [Porosity],Carling and Reader (1982) [Estimated kf],Wu and Wang (2006) [Estimated kf],Wooster et al. (2008) [Estimated kf],Frings et al. (2011)  [Estimated kf],User input [Estimated kf],250,125,63,31.5,16,8,4,2,1,0.5,0.25,0.125,0.063,0.031,0.0039,6.00E-05
KN,FC-474.2-II,474.2,F,7080,129.431,3,474.2,FC,13.07.2022,8.382272946,49.82256596,0.157021104,0.191574675,0.243405032,0.266717604,0.353453545,0.396821516,0.461873472,0.551034483,8.04,5.214123475,0.324906528,1.695978489,0.191574675,18.04488597,2.28356749,7.407623745,84.5896821,2.527185875,1.141695065,0.547065859,0.390948555,0.218708707,0.320052858,,0.000116752,2.36E-05,2.51E-06,1.04E-05,,100,100,100,91.40239605,91.40239605,89.99295278,88.30162086,87.10359408,85.83509514,83.7914024,26.14517266,4.4397463,1.62085976,0,0,0
KN,FC-474.2-IV,474.2,F,9240,129.408,4,474.2,FC,13.07.2022,8.382228565,49.82255131,0.191380866,0.241227437,0.277761959,0.295235383,0.365129081,0.40007593,0.452496203,0.483948368,0.787777778,2.01193618,0.341674735,1.4164008,0.241227437,13.49675655,1.438580181,15.88986056,282.6367854,2.090469845,1.13840258,0.543118484,0.389183499,0.321790251,0.384522555,,0.000138837,2.86E-05,1.31E-05,2.71E-05,,100,100,100,98.85931559,97.99022271,96.30635524,93.64475828,93.48180337,91.03747963,88.59315589,17.05594785,2.009777295,0.597501358,0,0,0
KN,SP-474.5-I-OS,474.5,G,9010,130.012,1,474.5,OL,14.07.2022,8.380530979,49.82484431,0.269484536,0.324783505,0.407731959,0.453814433,0.852631579,1.734065934,12.23783784,34.57249211,45.23280757,11.48527868,3.350906619,10.31735469,0.324783505,21.47151267,2.805753478,4.303653624,36.9006998,6.434751171,0.44071431,0.44908273,0.347042967,0.172276672,0.213325095,,0.00020104,6.60E-05,5.03E-06,1.06E-05,,100,100,100,82.27069351,79.86577181,69.51901566,64.4295302,61.35346756,56.2639821,35.01118568,7.88590604,1.118568233,0.223713647,0,0,0
KN,SP-474.5-I-US ,474.5,G,13420,130.012,1,474.5,UL,14.07.2022,8.380530979,49.82484431,0.29650974,0.381883117,0.522854478,0.686380597,2.887850467,6.757142857,17.73775773,30.34309278,42.24078947,12.70369208,3.404043896,8.913837103,0.381883117,20.63384465,2.722177872,4.558141675,42.37794716,22.7889406,0.235140767,0.340062728,0.29804882,0.178983889,0.203371654,,9.85E-05,5.86E-05,9.28E-06,1.45E-05,,100,100,100,84.82601255,73.75926982,62.97775242,53.3941814,47.29035938,39.58927553,24.30119795,6.731317741,1.254991443,0.342270394,0,0,0
KN,SP_474.5_II_OS,474.5,G,9635,129.682,2,474.5,OL,14.07.2022,8.380501809,49.82484316,0.267708333,0.338259804,0.44408701,0.50936255,3.075757576,9.985340314,33.69913564,48.16819149,57.81422872,19.16802592,4.03650381,11.93314654,0.338259804,27.90437228,3.134164906,1.705434115,2.42245803,37.29932569,0.097057536,0.335152669,0.295840298,0.148267447,0.183319204,,6.87E-05,4.21E-05,3.62E-06,7.45E-06,,100,100,93.22563835,73.63210005,67.4830641,57.52996352,51.58936946,48.15007817,42.8348098,29.75508077,8.494007295,2.032308494,0.62532569,0,0,0
KN,SP-474.5-II-US,474.5,G,10785,129.682,2,474.5,UL,14.07.2022,8.380501809,49.82484316,0.309119497,0.410157233,0.673672566,0.910619469,5.618181818,10.69473684,34.21459044,44.57733788,51.48583618,17.11699027,4.275946392,10.42513956,0.410157233,23.28516055,2.838302041,3.079195416,23.26502725,34.59741929,0.250828778,0.291365792,0.27614088,0.169733074,0.191144854,,6.77E-05,5.52E-05,9.75E-06,1.47E-05,,100,100,100,72.64239029,67.64705882,56.11577965,45.84500467,38.98225957,31.88608777,21.33520075,6.489262372,1.447245565,0.373482726,0,0,0
KN,FC-474.5-III,474.5,G,23165,129.489,3,474.5,FC,14.07.2022,8.380477515,49.82484105,0.288438257,0.420096852,0.886952191,1.471590909,5.614088821,7.834609495,19.37458609,35.73134328,45.95708955,14.31560561,3.874354765,9.22252748,0.420096852,21.18249137,2.65247005,4.171282441,36.87281849,27.16217185,0.95830549,0.291415485,0.27616324,0.184777476,0.20130845,,6.38E-05,5.20E-05,1.23E-05,1.65E-05,,100,100,100,81.51724138,73.1862069,60.74482759,42.73103448,33.84827586,26.56551724,19.64137931,8.248275862,1.931034483,0.689655172,0,0,0
KN,FC-474.5-IV,474.5,G,12000,129.155,4,474.5,FC,14.07.2022,8.380451299,49.82483714,0.240291878,0.355,0.620283019,0.997169811,5.408695652,8.533333333,33.68632075,52.00301887,66.49055118,21.36064293,4.296634927,12.10319698,0.355,32.48496054,3.02420917,2.209601297,6.81727697,35.51236687,0.484931551,0.293966999,0.277311327,0.155908219,0.181523989,,4.90E-05,3.92E-05,5.11E-06,8.58E-06,,100,100,89.40342094,73.92574051,69.46182728,59.32415519,44.93116395,35.66958698,30.03754693,23.40425532,10.63829787,2.419691281,0.834376304,0,0,0
KN,SP-474.6-I-OS,474.6,H,13965,130.133,1,474.6,OL,14.07.2022,8.380660801,49.8254312,0.31545584,0.409002849,0.677564103,0.958205128,7.260416667,21.89756098,40.72819767,48.74604651,54.09127907,20.62126539,4.465117233,10.917081,0.409002849,24.50066711,2.961725014,2.41267602,17.21023326,69.41561438,0.132917653,0.274344903,0.268481657,0.160424391,0.183483923,,6.04E-05,5.57E-05,9.02E-06,1.43E-05,,100,100,100,64.64138876,57.14938328,51.62174509,42.85061672,37.46002741,30.74463225,21.836455,5.801735952,1.142074006,0.319780722,0,0,0
KN,SP-474.6-I-US,474.6,H,14640,130.133,1,474.6,UL,14.07.2022,8.380660801,49.8254312,0.362311178,0.494501511,1.011029412,1.725980392,7.299465241,19.4488746,42.13125,56.38934483,72.57855072,25.37436121,5.280588622,10.67860969,0.494501511,33.33291055,2.908984433,1.878373679,5.265909471,53.68002912,0.422761574,0.273998562,0.2683258,0.164337986,0.178913433,,8.00E-05,7.40E-05,1.30E-05,1.74E-05,,100,100,88.17278025,68.28933836,57.62769969,52.24545766,39.42406582,31.91635242,24.92286596,16.24957148,4.90229688,1.302708262,0.445663353,0,0,0
KN,FC-474.6-II ,474.6,H,10700,129.733,2,474.6,FC,14.07.2022,8.380615918,49.82543069,0.186662679,0.262364865,0.37035473,0.430349099,0.879072682,1.506956522,4.776397516,13.51466667,40.47954545,10.66125256,1.883022489,7.177113787,0.262364865,25.63979769,2.748594222,4.018061045,22.78975695,8.073153811,0.658390534,0.445998912,0.345658624,0.176836137,0.218370581,,0.000104706,3.49E-05,2.96E-06,6.17E-06,,100,100,95.16658846,87.9399343,85.31206007,81.08869076,73.53355232,65.32144533,54.52839043,35.80478649,14.96949789,5.161895824,1.454716096,0,0,0
KN,FC-474.6-III,474.6,H,9770,129.375,3,474.6,FC,14.07.2022,8.380571089,49.82542596,0.255547753,0.337668539,0.460849719,0.547931034,0.995977011,1.527272727,3.225888325,5.724521739,7.75826087,8.699135448,1.390320429,4.117411801,0.337668539,24.57623012,2.321640484,3.460587048,10.65866119,5.976467061,0.769242261,0.433595074,0.340089323,0.21493623,0.235804691,,0.000152551,5.42E-05,9.67E-06,1.35E-05,,100,100,92.91944587,92.91944587,92.35505387,90.71318625,78.9122627,68.80451514,50.17957927,27.86044125,9.59466393,3.232426886,0.205233453,0,0,0
KN,FC-474.6-IV,474.6,H,8870,129.249,4,474.6,FC,14.07.2022,8.380526687,49.82542041,0.337243402,0.415102639,0.549431818,0.65,1.081560284,1.395390071,1.866134752,4.978438662,6.557620818,3.035389015,1.43755453,3.463130307,0.415102639,13.07042038,1.574832445,17.03010073,315.554456,4.137634906,0.897816585,0.42558197,0.336490534,0.302364322,0.278823258,,0.000213151,7.90E-05,5.18E-05,3.80E-05,,100,100,100,99.3220339,99.15254237,95.48022599,80.28248588,79.26553672,47.40112994,22.54237288,3.276836158,1.016949153,0.338983051,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SSS-474.1,,,,,,,,26.09.2022,8.383162184,49.82191797,0.261243523,0.277860104,0.302784974,0.316632124,0.372020725,0.399715026,0.441256477,0.466181347,0.482797927,0.487141133,0.359907207,1.295282057,0.277860104,1.031284498,0.586742754,10.99211288,140.3940184,1.5300476,0.960094414,0.540859493,0.388173228,0.474940552,0.453570155,,0.0001624,3.38E-05,8.41E-05,6.76E-05,,100,100,100,100,100,99.76613658,98.55004677,98.69036483,98.4565014,96.21141254,5.940130964,0.280636109,0.09354537,0,0,0
