field_1,Unnamed_ 0,number,x-etr89,y-etr89,z-wgs84,descriptio,x-gk-z3,y-gk-z3,z-DHHN,category,date,St,Loc,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q,lat_flowtr,lon_flowtr,layer,path,ang,horizon_v,tke_proxy
3,1303,,8.383057865000000,49.821767889999997,129.757000000000005,474-1v,3455679.500000000000000,5520764.909999999217689,81.948999999999998,profpoint,11.07.2022,1.000000000000000,474.075000000000102,0.292000000000000,,,,0.406000000000000,0.118500000000000,80.000000000000000,0.500000000000000,0.088000000000000,-0.015000000000000,0.054500000000000,-13.544000000000000,0.005500000000000,0.003000000000000,0.013000000000000,44.557500000000005,44.912500000000001,47.113500000000002,23.454499999999999,1.198500000000000,1.000000000000000,,,,,49.821860000000001,8.382999999999999,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-15.3266445676,0.0892692556,0.0001041250
4,1305,,8.383025997000003,49.821760439999998,129.526999999999987,474-1v,3455677.199999999720603,5520764.099999999627471,81.718999999999994,profpoint,11.07.2022,2.000000000000000,474.075000000000102,0.467000000000000,,,,0.471500000000000,0.216500000000000,80.000000000000000,0.500000000000000,0.098500000000000,0.028500000000000,-0.122000000000000,18.202999999999999,0.007000000000000,0.004500000000000,0.018000000000000,49.612000000000002,49.734999999999999,52.086500000000001,23.248000000000001,1.635000000000000,1.000000000000000,,,,,49.821854999999999,8.382985000000001,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-41.1372765617,0.1025402360,0.0001966250
30,1365,,8.382324075000000,49.822470760000002,129.502999999999986,h2o,3455627.339999999850988,5520843.519999999552965,81.694999999999993,h2o,11.07.2022,4.000000000000000,474.000000000000000,0.570000000000000,,,,0.367000000000000,0.209000000000000,80.000000000000000,0.000000000000000,0.192000000000000,0.088000000000000,-0.360000000000000,24.532000000000000,0.003000000000000,0.002000000000000,0.011000000000000,38.512999999999998,38.703000000000003,40.587000000000003,23.224000000000000,2.261000000000000,1.000000000000000,,,,,49.822460000000000,8.382339999999999,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-49.6235647862,0.2112060605,0.0000670000
31,1367,,8.382267780999999,49.822449779999999,129.329000000000008,h2o,3455623.270000000018626,5520841.219999999739230,81.521000000000001,h2o,11.07.2022,5.000000000000000,474.000000000000000,0.686000000000000,,,,0.385000000000000,0.264000000000000,80.000000000000000,0.000000000000000,0.310000000000000,0.034000000000000,-0.145000000000000,6.282000000000000,0.004000000000000,0.003000000000000,0.011000000000000,35.460000000000001,35.875999999999998,38.228999999999999,23.145000000000000,1.792000000000000,1.000000000000000,,,,,49.822450000000003,8.382280000000000,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-31.2590363051,0.3118589425,0.0000730000
32,1369,,8.382198967000003,49.822429900000003,129.104999999999990,h2o,3455618.299999999813735,5520839.049999998882413,81.296999999999997,h2o,11.07.2022,6.000000000000000,474.000000000000000,0.968000000000000,,,,0.393000000000000,0.380000000000000,80.000000000000000,1.000000000000000,0.455000000000000,0.093000000000000,-0.404000000000000,11.505000000000001,0.006000000000000,0.004000000000000,0.018000000000000,36.098999999999997,36.091000000000001,38.197000000000003,23.195000000000000,0.808000000000000,1.000000000000000,,,,,49.822429999999997,8.382199999999999,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-36.5518895641,0.4644071490,0.0001880000
33,1371,,8.382201636000000,49.822373010000000,128.995000000000005,h2o,3455618.439999999944121,5520832.719999999739230,81.186999999999998,h2o,11.07.2022,7.000000000000000,474.000000000000000,1.085000000000000,,,,0.433000000000000,0.470000000000000,80.000000000000000,0.000000000000000,0.493000000000000,0.033000000000000,-0.141000000000000,3.839000000000000,0.008000000000000,0.004000000000000,0.015000000000000,35.454000000000001,35.798999999999999,37.779000000000003,23.175999999999998,3.166000000000000,1.000000000000000,,,,,49.822380000000003,8.382230000000000,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-28.8295018074,0.4941032281,0.0001525000
34,1373,,8.382345877000002,49.822351840000003,129.372000000000014,h2o,3455628.799999999813735,5520830.280000000260770,81.563999999999993,h2o,11.07.2022,8.000000000000000,474.000000000000000,0.600000000000000,,,,0.347000000000000,0.208000000000000,80.000000000000000,0.000000000000000,0.358000000000000,0.041000000000000,-0.152000000000000,6.546000000000000,0.009000000000000,0.007000000000000,0.029000000000000,36.555999999999997,36.869999999999997,38.963000000000001,23.213000000000001,2.125000000000000,1.000000000000000,,,,,49.822350000000000,8.382370000000000,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-31.5333425848,0.3603401171,0.0004855000
35,1375,,8.382507326000002,49.822212260000001,129.397999999999996,h2o,3455640.290000000037253,5520814.660000000149012,81.590000000000003,h2o,11.07.2022,9.000000000000000,474.000000000000000,0.669000000000000,,,,0.430000000000000,0.288000000000000,80.000000000000000,0.000000000000000,0.297000000000000,0.051000000000000,-0.215000000000000,9.778000000000000,0.004000000000000,0.003000000000000,0.012000000000000,35.231000000000002,35.649999999999999,37.469999999999999,23.248999999999999,0.464000000000000,1.000000000000000,,,,,49.822200000000002,8.382520000000000,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-34.7436412870,0.3013469761,0.0000845000
36,1377,,8.382650442999999,49.821973329999999,129.127000000000010,h2o,3455650.370000000111759,5520788.000000000000000,81.319000000000003,h2o,11.07.2022,10.000000000000000,474.000000000000000,0.917000000000000,,,,0.327000000000000,0.300000000000000,80.000000000000000,2.000000000000000,0.355000000000000,-0.027000000000000,0.082000000000000,-4.324000000000000,0.005000000000000,0.004000000000000,0.016000000000000,35.752000000000002,35.784999999999997,38.006000000000000,23.244000000000000,1.761000000000000,1.000000000000000,,,,,49.821959999999997,8.382650000000000,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-20.6506662653,0.3560252800,0.0001485000
37,1379,,8.382875273000000,49.821821770000000,129.275000000000006,h2o,3455666.410000000149012,5520771.009999999776483,81.466999999999999,h2o,11.07.2022,11.000000000000000,474.000000000000000,0.829000000000000,,,,0.429000000000000,0.356000000000000,80.000000000000000,0.000000000000000,0.079000000000000,-0.007000000000000,0.025000000000000,-5.364000000000000,0.002000000000000,0.002000000000000,0.009000000000000,34.203000000000003,33.771999999999998,35.850999999999999,23.321000000000002,1.927000000000000,1.000000000000000,,,,,49.821829999999999,8.382880000000000,knobloch-1107,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/knoblochsaue/flowtracker2/merged_flowtracker_dgps/knobloch-1107.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no,-19.9363831470,0.0793095202,0.0000445000
